"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","looic","p_loo"
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3457.18189205074,35.3033424324675
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3459.49289729832,32.0736521792064
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3473.82221730712,35.6568604596032
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3482.06363372941,32.2829911830933
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3478.72939278896,31.4067671342328
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3484.17731747355,27.9428264991158
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3450.66025106823,36.2411615050442
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3454.17752760087,31.9029975082729
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3454.25541896025,31.5201908942017
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3456.73699333504,28.4185599848787
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3474.28564344764,31.7436326566668
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3480.56425964502,28.4051835477783
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3478.95259474537,27.4264359749285
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3482.11376145287,23.9486458895641
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3453.55031461115,36.2989707110661
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3456.90365062419,31.4465618370992
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3454.52072837488,31.7078620198378
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3456.6827139469,28.1866987402205
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3479.47183183734,31.6052366054701
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3484.50199533942,28.1324614495181
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3484.25625332944,27.2133063255145
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3485.05885046605,24.2890506583235
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3448.86991614,32.9253810286784
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3452.206899482,28.4764989690478
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3452.48172100216,28.3723699173242
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3454.67522551871,24.7845052375478
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3475.63159293275,28.7982354811201
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3479.26421954073,24.5248625400263
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3483.45015355769,23.9701494481201
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
